Name,SMILES,BA_APO_C1,BA_APO_C2,BA_APO_C3,BA_APO_C4,BA_APO_C5,BA_ATP_C1,Common,Predicted_Mtb_perm,Cytotoxicity HaCat cell line,Cytotoxicity NIH 3T3 cell line,Cytotoxicity HEK 293 cell line,Cytotoxicity HepG2 cell line,Cytotoxicity CRL-7250 cell line,qed_score,sc_score,LogP
curia0444,O=C(N1[C@H]2CC[C@@H]1C[C@@]1(C2)NC(=O)N(C1=O)c1ccccc1)c1cccs1,-9.079,,-8.201,-6.618,,-8.371,common_04,1,"('Inactive', '0.89', '0.34')","('Inactive', '0.91', '0.43')","('Inactive', '0.82', '0.29')","('N', '0.83', '0.26')","('Inactive', '0.84', '0.29')",0.8132765161,3.660845372,3.0103
curia7354,Cc1nc(ccc1)N1CCCC(C1)c1noc2ccc(cc12)C1CC1,-9.057,-7.498,,-6.633,-7.673,,common_04,1,"('Inactive', '0.86', '0.40')","('Inactive', '0.87', '0.26')","('Inactive', '0.93', '0.41')","('N', '0.86', '0.29')","('Inactive', '0.83', '0.36')",0.6907535354,4.578326994,4.79262
curia6410,COc1cc(ccc1)c1nc(ccn1)N1CCC(C1)N1Cc2ccccc2C1=O,-8.964,-7.879,-7.498,,,-8.698,common_04,1,"('Inactive', '0.96', '0.44')","('Inactive', '0.93', '0.39')","('Inactive', '0.91', '0.37')","('N', '0.86', '0.29')","('Inactive', '0.83', '0.26')",0.6879658031,4.215434692,3.3869
curia3175,CC(=O)N[C@@H]1CN(C[C@@H]1C(=O)Nc1cc2c(COC2=O)cc1)c1ccccc1,-8.955,-7.634,,-7.029,,-8.345,common_04,1,"('Inactive', '0.80', '0.25')","('Inactive', '0.89', '0.36')","('Inactive', '0.97', '0.64')","('N', '0.86', '0.30')","('Inactive', '0.83', '0.28')",0.7929925742,4.510536015,1.9366
curia7921,O=C1NCC(N1C1CN(C1)S(=O)(=O)c1cc2c(OCCO2)cc1)c1ccccc1,-8.858,-7.406,-7.791,,,-9.196,common_04,1,"('Inactive', '0.85', '0.30')","('Inactive', '0.89', '0.38')","('Inactive', '0.84', '0.38')","('N', '0.82', '0.25')","('Inactive', '0.80', '0.24')",0.8195672868,4.035673851,1.5972
curia0385,CC(=O)N1CCn2nc(nc2C1)c1cc(OCc2cc(F)c(F)cc2)ccc1,-8.855,-8.172,-7.27,,,-8.361,common_04,1,"('Inactive', '0.79', '0.25')","('Inactive', '0.81', '0.20')","('Inactive', '0.79', '0.25')","('N', '0.83', '0.26')","('Inactive', '0.82', '0.25')",0.6933635293,4.707201137,3.1644
curia0259,COc1cccc(c1)c1nn(nc1)C1CCN(CC1)C(=O)CCc1ccc(C)cc1,-8.829,-7.796,-7.572,,,-8.296,common_04,1,"('Inactive', '0.91', '0.54')","('Inactive', '0.89', '0.35')","('Inactive', '0.84', '0.36')","('N', '0.80', '0.22')","('Inactive', '0.83', '0.36')",0.6216642294,4.405933525,4.05842
curia1999,COc1cc(NC(=O)[C@H]2CC[C@@H](CC2)n2c(=O)[nH]c3cc(F)ccc23)ccc1,-8.798,-7.841,-7.47,,,-8.335,common_04,1,"('Inactive', '0.93', '0.59')","('Inactive', '0.85', '0.26')","('Inactive', '0.92', '0.38')","('N', '0.83', '0.27')","('Inactive', '0.81', '0.30')",0.7185517868,4.105591185,3.8473
curia7988,CN1C(Cc2ccccc2)C2(CCN(CC2)S(=O)(=O)c2ccc(Cl)cc2)OC1=O,-8.735,-7.616,-7.409,-6.86,,,common_04,1,"('Inactive', '0.86', '0.34')","('Inactive', '0.96', '0.58')","('Inactive', '0.98', '0.67')","('N', '0.82', '0.24')","('Inactive', '0.81', '0.28')",0.7375085236,3.612168373,3.5566
curia8108,Cc1cn2cc(nc2cc1)C(=O)NC1CCN(C1)c1ncnc2c1CCNC2,-8.717,-8.215,,,-7.615,-8.477,common_04,1,"('Inactive', '0.94', '0.39')","('Inactive', '0.89', '0.30')","('Inactive', '0.93', '0.41')","('N', '0.83', '0.27')","('Inactive', '0.87', '0.37')",0.710476458,4.538342739,1.08712
