Name,SMILES,BA_APO_C1,BA_APO_C2,BA_APO_C3,BA_APO_C4,BA_APO_C5,BA_ATP_C1,Common,Predicted_Mtb_perm,Cytotoxicity HaCat cell line,Cytotoxicity NIH 3T3 cell line,Cytotoxicity HEK 293 cell line,Cytotoxicity HepG2 cell line,Cytotoxicity CRL-7250 cell line,qed_score,sc_score,LogP
curia7355,CC(=O)N1CCCC(C1)c1noc2ccc(cc12)N1CCCc2c1cccc2,-8.92,-7.837,-8.231,-7.536,-7.685,,common_05,1,"('Inactive', '0.89', '0.46')","('Inactive', '0.90', '0.33')","('Inactive', '0.90', '0.37')","('N', '0.87', '0.30')","('Inactive', '0.84', '0.38')",0.654783555,4.57302544,4.638
curia0429,COc1cccc(c1)c1ccc2n(CCN(Cc3cc(C)cc(C)c3)C2=O)c1=O,-8.914,-7.458,,-6.925,-7.553,-8.673,common_05,1,"('Inactive', '0.94', '0.69')","('Inactive', '0.85', '0.24')","('Inactive', '0.77', '0.27')","('N', '0.90', '0.39')","('Inactive', '0.93', '0.65')",0.683189748,3.718532681,3.79674
curia1213,Cc1c(CC(=O)N2CCN3[C@H](C2)[C@H](OC3=O)C2CCN(CC2)c2ccccc2)cccc1,-8.813,-8.466,,-6.991,-7.497,-9.25,common_05,1,"('Inactive', '0.88', '0.42')","('Inactive', '0.96', '0.61')","('Inactive', '0.84', '0.38')","('N', '0.84', '0.28')","('Inactive', '0.89', '0.54')",0.7408579643,4.222658941,3.48572
curia3694,Fc1c(CC(=O)N2CC3(CN(C3)C(=O)c3ccccc3)Cc3c2cccc3)cccc1,-8.798,-7.666,-7.695,-7.851,-7.482,,common_05,1,"('Inactive', '0.86', '0.36')","('Inactive', '0.85', '0.22')","('Inactive', '0.90', '0.37')","('N', '0.90', '0.39')","('Inactive', '0.85', '0.40')",0.6475279519,3.577315836,4.0999
curia7802,FC(F)c1cccc(c1)c1c2[nH]c(=O)n(C3CCNCC3)c2ncn1,-8.788,,-8.071,-6.866,-7.642,-8.908,common_05,1,"('Inactive', '0.86', '0.34')","('Inactive', '0.94', '0.42')","('Inactive', '0.94', '0.44')","('N', '0.82', '0.24')","('Inactive', '0.92', '0.41')",0.7651739769,4.295645903,2.6487
curia2940,COc1cc(ccc1)c1cc(ccc1)c1nn([C@H]2CC[C@@H](C2)C(=O)N)c(=O)o1,-8.787,-8.007,-7.637,-6.612,,-8.467,common_05,1,"('Inactive', '0.86', '0.34')","('Inactive', '0.91', '0.47')","('Inactive', '0.87', '0.43')","('N', '0.84', '0.27')","('Inactive', '0.83', '0.37')",0.7343753689,3.710982763,3.0054
curia2270,CC(=O)N1CC[C@H](C1)N1C(=O)Cc2c1ccc(OCc1cc(C)c(F)cc1)c2,-8.715,-7.873,-7.308,-6.72,,-8.215,common_05,1,"('Inactive', '0.86', '0.39')","('Inactive', '0.89', '0.34')","('Inactive', '0.89', '0.45')","('N', '0.87', '0.31')","('Inactive', '0.89', '0.54')",0.8158849188,4.990415437,3.22302
curia0021,CNC(=O)c1cccc(c1)c1nc(C(=O)NCc2c(OC)cccc2)c2NC(=O)CCn12,-8.59,-7.82,,-7.133,-7.404,-8.775,common_05,1,"('Inactive', '0.79', '0.24')","('Inactive', '0.81', '0.21')","('Inactive', '0.79', '0.30')","('N', '0.84', '0.27')","('Inactive', '0.91', '0.41')",0.5514112073,4.685624607,2.1905
curia3698,CC(=O)N1CC2(CN(C2)S(=O)(=O)c2ccc(C)c(C)c2)Cc2c1cccc2,-8.564,-7.689,-7.959,-7.076,-8.257,,common_05,1,"('Inactive', '0.84', '0.30')","('Inactive', '0.87', '0.30')","('Inactive', '0.88', '0.46')","('N', '0.82', '0.25')","('Inactive', '0.82', '0.24')",0.799969187,4.01165346,2.90334
curia2402,COc1cccc(c1)N1CC2(CCCN(Cc3cncc(Cl)c3)C2)OC1=O,-8.561,-7.662,-7.721,,-7.925,-8.214,common_05,1,"('Inactive', '0.79', '0.25')","('Inactive', '0.89', '0.41')","('Inactive', '0.77', '0.27')","('N', '0.85', '0.28')","('Inactive', '0.79', '0.25')",0.7995463827,4.370647407,3.735
curia6830,CC(=O)N1CCC(CC1)c1noc2ccc(cc12)c1cncc(F)c1,-8.554,-7.486,-7.862,-6.873,,-8.185,common_05,1,"('Inactive', '0.85', '0.32')","('Inactive', '0.83', '0.19')","('Inactive', '0.93', '0.41')","('N', '0.79', '0.21')","('Inactive', '0.80', '0.27')",0.7132558009,4.389181489,3.7548
curia5502,Cc1cc(NC(=O)CC2COC3(C2)CCN(CC3)c2ccccc2)ccc1F,-8.544,,-7.423,-6.705,-7.584,-8.86,common_05,1,"('Inactive', '0.79', '0.26')","('Inactive', '0.91', '0.43')","('Inactive', '0.85', '0.39')","('N', '0.80', '0.22')","('Inactive', '0.79', '0.24')",0.8441874153,3.741710245,4.53842
curia2936,Oc1c(NC(=O)[C@H]2CC[C@@H](C2)n2nc(oc2=O)c2ccccc2)cncc1,-8.53,-7.525,-7.803,,-7.446,-8.638,common_05,1,"('Inactive', '0.78', '0.24')","('Inactive', '0.89', '0.37')","('Inactive', '0.84', '0.32')","('N', '0.82', '0.27')","('Inactive', '0.79', '0.25')",0.7342376806,4.031821929,2.5838
curia5311,COc1ccc2n(C3CCN(CC3)S(=O)(=O)c3ccc(C)c(C)c3)c(=O)oc2c1,-8.44,,-7.877,-6.777,-7.653,-8.713,common_05,1,"('Inactive', '0.81', '0.27')","('Inactive', '0.90', '0.34')","('Inactive', '0.90', '0.37')","('N', '0.83', '0.26')","('Inactive', '0.86', '0.32')",0.6521270381,4.145820593,3.24574
curia2409,Cc1c(OCC(=O)N2CCCC3(CN(C(=O)O3)c3cnccc3)C2)cccc1,-8.44,-7.79,-7.293,,-7.762,-8.684,common_05,1,"('Inactive', '0.79', '0.25')","('Inactive', '0.90', '0.41')","('Inactive', '0.86', '0.41')","('N', '0.86', '0.29')","('Inactive', '0.81', '0.29')",0.8143800457,4.654889696,2.78682
curia6828,CC(=O)N1CCC(CC1)c1noc2ccc(cc12)c1cc(F)cc(c1)C#N,-8.436,-7.528,-7.676,-6.956,,-9.009,common_05,1,"('Inactive', '0.89', '0.45')","('Inactive', '0.86', '0.24')","('Inactive', '0.91', '0.37')","('N', '0.81', '0.23')","('Inactive', '0.83', '0.37')",0.6830348271,4.640885527,4.23148
curia7960,CC(=O)N1CCC(CC1)N1CC(OC1=O)c1cccc(c1)c1cc(ccc1)C(F)F,-10.437,-8.308,-7.37,-6.945,-8.257,-9.551,common_06,1,"('Inactive', '0.82', '0.28')","('Inactive', '0.99', '0.67')","('Inactive', '0.92', '0.56')","('N', '0.83', '0.26')","('Inactive', '0.93', '0.62')",0.7225026501,4.585008453,4.7954
curia0869,Cc1cc(ccc1F)c1cc(ccc1)C(=O)Nc1nn2CCNCc2n1,-10.058,-8.527,-7.297,-7.247,-8.694,-9.31,common_06,1,"('Inactive', '0.90', '0.36')","('Inactive', '0.86', '0.24')","('Inactive', '0.78', '0.25')","('N', '0.81', '0.25')","('Inactive', '0.86', '0.35')",0.7611032054,4.291894495,2.74812
curia0441,CNC(=O)c1cccc(c1)N1C(=O)N[C@@]2(C[C@@H]3CC[C@H](C2)N3C(=O)Nc2ccc(F)cc2)C1=O,-9.997,-7.827,-8.753,-6.952,-7.725,-8.698,common_06,1,"('Inactive', '0.86', '0.33')","('Inactive', '0.94', '0.53')","('Inactive', '0.80', '0.27')","('N', '0.83', '0.26')","('Inactive', '0.87', '0.37')",0.6055952605,4.689725141,2.8392
curia4315,Fc1cc(ccc1)N1C[C@H]2OC(=O)N(C3CN(C3)S(=O)(=O)c3ccccc3)[C@H]2C1,-9.667,-7.499,-7.624,-6.736,-8.341,-8.239,common_06,1,"('Inactive', '0.86', '0.37')","('Inactive', '0.91', '0.43')","('Inactive', '0.82', '0.29')","('N', '0.83', '0.27')","('Inactive', '0.84', '0.38')",0.760223085,4.400060641,1.9082
curia5495,O=C(CC1COC2(C1)CCN(CC2)C(=O)c1ccc2[nH]cnc2c1)Nc1ccccc1,-9.636,-7.778,-8.016,-6.892,-7.501,-8.746,common_06,1,"('Inactive', '0.80', '0.26')","('Inactive', '0.87', '0.30')","('Inactive', '0.93', '0.40')","('N', '0.82', '0.25')","('Inactive', '0.81', '0.28')",0.6777144942,4.505281982,3.603
curia2982,O=C1OCc2c1cc(NCC1CCC3(CC1)OC(=O)Nc1ccccc31)cc2,-9.606,-8.695,-7.811,-7.209,-8.269,-9.404,common_06,1,"('Inactive', '0.92', '0.57')","('Inactive', '0.92', '0.36')","('Inactive', '0.90', '0.37')","('N', '0.79', '0.21')","('Inactive', '0.85', '0.41')",0.773572143,4.455191781,4.4167
curia6748,CN1CC2(CN(C2)C(=O)C)OCC1c1cc(ccc1)c1cc2cccnc2cc1,-9.597,-8.653,-7.42,-6.726,-7.403,-9.162,common_06,1,"('Inactive', '0.86', '0.36')","('Inactive', '0.85', '0.25')","('Inactive', '0.96', '0.48')","('N', '0.84', '0.27')","('Inactive', '0.85', '0.42')",0.6751576338,4.99774803,3.5058
curia2943,O=C(Nc1cc2c(COC2=O)cc1)[C@@H]1CC[C@@H](C1)n1nc(oc1=O)c1ccccc1,-9.28,-7.771,-8.036,-6.885,-7.41,-10.338,common_06,1,"('Inactive', '0.86', '0.38')","('Inactive', '0.86', '0.29')","('Inactive', '0.89', '0.37')","('N', '0.81', '0.23')","('Inactive', '0.81', '0.24')",0.6690224277,4.321589305,3.1536
curia0020,CNC(=O)c1cccc(c1)c1nc(C(=O)NCc2cc(ccc2)C(F)(F)F)c2NC(=O)CCn12,-9.204,-8.336,-8.809,-7.253,-7.768,-8.907,common_06,1,"('Inactive', '0.93', '0.38')","('Inactive', '0.86', '0.25')","('Inactive', '0.78', '0.28')","('N', '0.83', '0.26')","('Inactive', '0.90', '0.39')",0.5315796562,4.673479839,3.2007
curia2944,Cc1cc(NC(=O)[C@@H]2CC[C@@H](C2)n2nc(oc2=O)c2ccccc2)no1,-9.172,-7.979,-7.332,-6.758,-7.64,-8.771,common_06,1,"('Inactive', '0.87', '0.34')","('Inactive', '0.81', '0.21')","('Inactive', '0.87', '0.34')","('N', '0.80', '0.22')","('Inactive', '0.85', '0.32')",0.7725842678,3.971284289,2.77962
curia0024,C[C@H](NC(=O)c1c2NC(=O)CCn2c(n1)c1cc(ccc1)C(=O)NC1CC1)c1ccccc1,-9.047,-7.862,-7.45,-6.679,-7.818,-8.781,common_06,1,"('Inactive', '0.81', '0.27')","('Inactive', '0.89', '0.28')","('Inactive', '0.81', '0.28')","('N', '0.79', '0.21')","('Inactive', '0.88', '0.37')",0.5437221028,4.680339224,3.2755
curia2045,CNC(=O)c1cccc(c1)N1N=C2CCN(CC2C1=O)C(=O)Cc1ccc2OCCc2c1,-8.994,-7.684,-7.227,-6.95,-8,-9.399,common_06,1,"('Inactive', '0.88', '0.42')","('Inactive', '0.83', '0.19')","('Inactive', '0.83', '0.29')","('N', '0.82', '0.24')","('Inactive', '0.81', '0.28')",0.7973640239,4.996276443,1.7749
curia0507,O=c1[nH]c(NCCN2CCCCOc3cc(ccc23)c2ccccc2)ncc1,-8.855,-7.43,-7.706,-6.789,-7.699,-8.812,common_06,1,"('Inactive', '0.85', '0.32')","('Inactive', '0.98', '0.61')","('Inactive', '0.97', '0.53')","('N', '0.82', '0.25')","('Inactive', '0.89', '0.53')",0.7128859243,4.99864384,3.528
curia8470,CC(=O)N1CCC(CC1)c1ccnc(c1)c1cc(ccc1)C(=O)Nc1ccc(F)c(C)c1,-8.824,-7.422,-7.22,-6.891,-7.777,-9.152,common_06,1,"('Inactive', '0.93', '0.59')","('Inactive', '0.96', '0.57')","('Inactive', '0.91', '0.37')","('N', '0.86', '0.35')","('Inactive', '0.88', '0.50')",0.6195892365,4.420715397,5.17432
curia4445,Cc1nc(ccn1)N1[C@@H](CCC1=O)C(=O)Nc1cc2c(COC2=O)cc1,-8.736,-7.754,-7.222,-6.984,-7.529,-9.823,common_06,1,"('Inactive', '0.83', '0.29')","('Inactive', '0.89', '0.31')","('Inactive', '0.91', '0.37')","('N', '0.87', '0.30')","('Inactive', '0.82', '0.24')",0.8419394563,4.295491976,1.58952
curia1453,Cc1c(OCC(=O)N2CCc3c(C2)n(nc3C(F)(F)F)c2ccccc2)cccc1,-8.697,-7.426,-7.304,-6.655,-7.72,-8.759,common_06,1,"('Inactive', '0.92', '0.38')","('Inactive', '0.81', '0.21')","('Inactive', '0.77', '0.26')","('N', '0.87', '0.31')","('Inactive', '0.88', '0.37')",0.6429226227,4.035121762,4.16322
curia8384,CC(=O)N1C[C@H](Oc2cc(ccc2)C(=O)Nc2ccc(F)c(C)c2)[C@@H](C1)n1ccnn1,-8.639,-7.931,-7.533,-6.963,-7.588,-8.231,common_06,1,"('Inactive', '0.94', '0.39')","('Inactive', '0.85', '0.25')","('Inactive', '0.90', '0.37')","('N', '0.83', '0.26')","('Inactive', '0.88', '0.37')",0.6817383548,4.336573215,2.82872
curia1089,CC(C)n1ncc2c1-c1c(cccc1)C12CCN(CC1)C(=O)c1ccno1,-8.534,-7.804,-8.565,-6.945,-8.035,-8.822,common_06,1,"('Inactive', '0.80', '0.26')","('Inactive', '0.90', '0.32')","('Inactive', '0.91', '0.37')","('N', '0.81', '0.23')","('Inactive', '0.79', '0.23')",0.6979009382,4.285749297,3.6547
curia4319,Fc1cc(cc(c1)c1nc(ccn1)N1C[C@H]2OC(=O)N(C3CCC3)[C@H]2C1)C#N,-8.385,-8.591,-7.449,-6.937,-7.859,-8.455,common_06,1,"('Inactive', '0.98', '0.50')","('Inactive', '0.89', '0.34')","('Inactive', '0.95', '0.44')","('N', '0.85', '0.28')","('Inactive', '0.92', '0.41')",0.8155514669,4.804594398,2.71628
