Name,SMILES,Affinity
dds5_enamine25945,Cc1c(oc2c1ccc1ccccc21)C(=O)N1CCn2c(nnc2C1)C(F)(F)F,-11.025
dds1_enamine2317,CC(NC(=O)Nc1nnc(s1)C1CCCO1)c1cccc(c1)C(F)(F)F,-11.014
dds5_enamine47836,O=C(C1CCN(CC1)c1ccc2nnnn2n1)N1CC(c2ccccc12)c1ccccc1,-11.012
dds5_enamine28826,Cc1ccc2[nH]c3CCC(Cc3c2c1)NC(=O)c1cccc(c1)C1(C)NC(=O)NC1=O,-10.957
dds5_enamine42432,Cc1cc(c2nnc(CCc3nc(no3)c3ccccn3)o2)c2ccccc2n1,-10.915
hinge_enamine20851,O=C(Nc1c2CCCc2cc2CCCc12)C1CN(Cc2nc3ccccc3c(=O)[nH]2)CCO1,-10.875
psl_enamine1347,O=C(Nc1cccc(c1)S(=O)(=O)NC1=NCCCCC1)c1cc(nc2ccccc12)c1ccco1,-10.616
dds5_enamine4335,CC(C)(NC(=O)Nc1cccc2ccc(F)cc12)c1nnc2CCCCn12,-10.614
psl_enamine402,Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)c3cc(nc4ccccc34)c3ccccc3)cc2)n1,-10.544
hinge_enamine14899,FC(F)(F)c1cccc(c1)N1CCN(CC1)C(=O)c1ccc2c(=O)[nH][nH]c(=O)c2c1,-10.525
dds5_enamine47207,Fc1ccc2CCN(Cc2c1)C(=O)c1ccnc(c1)C(=O)N1CCc2ccc(F)cc2C1,-10.514
dds5_enamine48520,Cc1cc(C(=O)N2CCCCC2c2nc(no2)c2ccccc2)c2n[nH]cc2c1,-10.499
psl_enamine1969,Cc1cc(NC(=O)COC(=O)c2oc3c(ccc4ccccc34)c2C)no1,-10.451
dds5_enamine46684,CC(C)(NC(=O)NC1CCC2(CC1)NC(=O)NC2=O)c1ccc2ccccc2c1,-10.416
dds1_enamine4746,Cc1nn(c2ccccc2)c2nc(ccc12)C(=O)N1CCC(CC1)C1C(=O)Nc2ccccc12,-10.413
psl_enamine1912,Cc1ccc(NC(=O)c2cc(nc3ccccc23)c2ccco2)cc1S(=O)(=O)N1CCOCC1,-10.387
hinge_enamine13518,O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCC(CC1)n1c(=O)[nH]c2ccccc12,-10.386
dds5_enamine16661,Cc1c(nnn1c1cccc2cccnc12)C(=O)N1CCC(CC1)c1nnc(N)[nH]1,-10.386
psl_enamine683,FC(F)(F)c1cccc(c1)c1ccc(C=C(C#N)C(=O)Nc2cccc3ncccc23)o1,-10.365
hinge_enamine5184,FC(F)(F)c1cccc(NC(=O)c2cc(=O)[nH]c3ccc(cc23)S(=O)(=O)N2CCOCC2)c1,-10.351
