Name,SMILES,Affinity
dds5_enamine29470,Cc1cc(cc(O)n1)C(=O)NCC1Cc2ccccc2CN1C(=O)c1nnn2ccccc12,-9.74
hinge_enamine11387,O=C(N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1)c1ccc(cc1)n1cnc2ccccc12,-9.536
dds5_enamine25945,Cc1c(oc2c1ccc1ccccc21)C(=O)N1CCn2c(nnc2C1)C(F)(F)F,-9.461
dds5_enamine26439,Fc1cccc2cc(NC(=O)C(=O)N3Cc4ccccc4C4(CCC4)C3)cnc12,-9.37
dds5_enamine46684,CC(C)(NC(=O)NC1CCC2(CC1)NC(=O)NC2=O)c1ccc2ccccc2c1,-9.37
hinge_enamine9257,O=C(N1CCCC1c1nnc2ccccn12)c1csc(c1)S(=O)(=O)N1CCc2ccccc2C1,-9.351
dds5_enamine10232,CC1(NC(=O)NC1=O)c1cccc(CNC(=O)N2Cc3ccccc3-c3ccccc3C2)c1,-9.342
dds5_enamine32013,O=C(N1CCCC(C1)c1nnc[nH]1)c1cc([nH]n1)c1ccc2ccccc2c1,-9.332
CHEMBL2336325,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,-9.306
dds5_enamine4335,CC(C)(NC(=O)Nc1cccc2ccc(F)cc12)c1nnc2CCCCn12,-9.262
dds5_enamine32241,CC(c1nc(no1)c1cccc(c1)C1(C)NC(=O)NC1=O)n1ccc2ccccc2c1=O,-9.217
dds5_enamine10476,Fc1ccc(C(=O)N2[C@@H](C[C@@H]3CCCC[C@H]23)C(=O)Nc2ccc3NC(=O)CCCc3c2)c(F)c1,-9.211
dds1_enamine7283,Cc1cc(C)cc(c1)C(=O)N1CCCC(C1)C(=O)NCc1cccc(c1)C1(C)NC(=O)NC1=O,-9.205
dds5_enamine41502,Fc1ccc2C(CCc2c1)NC(=O)N1CCCC(C1)NC(=O)c1cc2ccccc2o1,-9.203
dds5_enamine48402,CC1(NC(=O)NC1=O)C1CCN(CC1)C(=O)c1cc2CCc3ccccc3-c2s1,-9.202
psl_enamine2710,Cc1ccc(NC(=O)c2cc(cn(c3ccc(C)cc3C)c2=O)C(=O)c2cc(Cl)ccc2O)c(C)c1,-9.193
dds5_enamine26095,Cc1cc(F)ccc1n1ccc(n1)C(=O)N1Cc2ccccc2CC1C(=O)O,-9.192
ab_enamine4183,OC(=O)c1cccc(NS(=O)(=O)c2cccc(c2)C(=O)Nc2ccc3OCCCOc3c2)c1,-9.138
dds5_enamine2664,Clc1ccc2[nH]c3CCC(Cc3c2c1)NC(=O)c1onc2CCCCc12,-9.12
dds5_enamine31316,Cc1ccccc1C(O)C1CCN(CC1)C(=O)c1cn(nn1)c1ccccc1Cl,-9.118
dds5_enamine10282,O=C(Nc1cccc(c1)c1nnn[nH]1)c1cc2c(ccc3ccccc23)o1,-9.115
dds5_enamine35900,Cn1nnc2c(ncnc12)N1CCCN(Cc2ccc(cc2)C(F)(F)F)CC1,-9.112
psl_enamine1171,Cc1ccc(cc1)c1cc(C(=O)N2CCN(CC2)c2ccccc2O)c2ccccc2n1,-9.088
dds5_enamine8950,Cc1ccc2[nH]c3CCC(Cc3c2c1)NC(=O)c1onc2CCCCc12,-9.081
hinge_enamine14899,FC(F)(F)c1cccc(c1)N1CCN(CC1)C(=O)c1ccc2c(=O)[nH][nH]c(=O)c2c1,-9.073
hinge_enamine6868,Cc1cccnc1NC(=O)C1CCCN(C1)C(=O)c1nn(c(C)cc1=O)c1cccc(c1)C(F)(F)F,-9.067
dds5_enamine33147,Fc1cc2NC(=O)CCc2cc1C(=O)N1CCCC(C1)NC(=O)c1ccc2ccccc2c1,-9.024
dds5_enamine48322,Cc1ccc(cc1)c1cc(C(=O)N2CCn3c(nnc3C2)C(F)(F)F)c2ccccc2n1,-9.023
psl_enamine1299,COc1ccc(cc1)c1csc(NC(=O)c2ccccc2NS(=O)(=O)c2ccc(F)c(F)c2)n1,-9.016
hinge_enamine9506,CC1(C)C(=O)Nc2ccc(cc12)S(=O)(=O)Nc1nccc(n1)n1nnc2ccccc12,-9.01
dds5_enamine9812,CC1Oc2ccc(cc2NC1=O)C(=O)C1CCN(CC1)C(=O)c1cc(O)nc2ccccc12,-9.008
dds5_enamine33964,CC1(NC(=O)NC1=O)C1CCN(CC1)C(=O)Cc1coc2ccc3ccccc3c12,-9.007
dds5_enamine2429,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(Cc2cc3ccccc3[nH]c2=O)n1,-8.998
hinge_enamine10516,CCc1noc(C)c1C(=O)Nc1nc(cs1)c1ccc2NC(=O)CCc2c1,-8.996
hinge_enamine9296,O=C(C1CCN(CC1)S(=O)(=O)c1ccc2CCCc2c1)N1CCCC1c1nc2ccccc2[nH]1,-8.987
dds1_enamine10185,COc1ccc(C(=O)Nc2ccc(F)c(c2)n2nnnc2C)c2ccccc12,-8.985
dds5_enamine21088,Cc1nnnn1c1cccc(NC(=O)c2ccc3ccc(Br)cc3c2)c1,-8.98
dds5_enamine3998,CC(=O)N1CCC(NC(=O)c2cc3CCCc3c(c2)S(=O)(=O)N)c2ccccc12,-8.976
dds5_enamine21883,Cc1ccc2[nH]c(cc2c1)C(=O)N1CCc2c(C1)cnn2c1ccccc1,-8.971
psl_enamine1912,Cc1ccc(NC(=O)c2cc(nc3ccccc23)c2ccco2)cc1S(=O)(=O)N1CCOCC1,-8.969
CHEMBL3120215,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,-8.967
dds1_enamine6530,Cc1c[nH]c(=O)n1c1cccc(c1)c1noc(n1)c1ncc(C)cc1C,-8.965
hinge_enamine9276,Cc1nc(cs1)c1ccc(CC(=O)N2CCCC2c2nnc3ccccn23)cc1,-8.963
dds5_enamine5755,FC(F)(F)c1nnc2CN(CCn12)C(=O)c1cc(nc2ccccc12)c1ccccc1,-8.962
dds5_enamine4963,Cc1cc(NC(=O)c2cccc(F)c2)sc1C(=O)N1CCOc2cc(O)ccc2C1,-8.946
hinge_enamine5565,Cc1noc(C)c1COc1ccccc1C(=O)Nc1ncc(Cc2ccccc2)s1,-8.939
hinge_enamine6484,CCn1c(=O)c(=O)[nH]c2cc(ccc12)C(=O)N1CCC(=CC1)c1c[nH]c2ncccc12,-8.935
hinge_enamine12118,CC1C(=O)Nc2ccc(cc12)c1csc(NC(=O)c2ccccc2)n1,-8.933
dds5_enamine3798,Cc1cccc(c1)c1cccc(CNC(=O)C2Nc3ccccc3S(=O)(=O)N2)c1,-8.928
hinge_enamine18352,O=c1[nH]c2ccccc2n1C1CCN(CCn2cnc3ccccc3c2=O)CC1,-8.927
dds5_enamine3908,CC1(NC(=O)NC1=O)C1CCN(CC1)C(=O)NCc1coc(n1)c1ccccc1,-8.922
fda_enamine874,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1,-8.919
dds5_enamine3482,CCn1c(n[nH]c1=O)C1CCN(CC1)C(=O)c1cc2cc(C)c(Cl)cc2[nH]1,-8.918
ab_enamine27435,[O-][N+](=O)c1ccc2nc(NC(=O)CCC3Cc4ccccc4NC3=O)ccc2c1,-8.912
dds5_enamine13455,Fc1ccc(c2cnc(CCC(=O)N3CCS(=O)(=O)C4(CCCCC4)C3)o2)c(F)c1,-8.905
dds5_enamine46586,O=C(N1CCC(CC1)C1C(=O)Nc2ccccc12)c1cccc2[nH]c(=O)oc12,-8.901
hinge_enamine5156,O=C(CCc1nc2sc3CCCCc3c2c(=O)[nH]1)N1CCCC1c1nc2ccccc2[nH]1,-8.897
dds5_enamine988,CC1(C)CC(NC(=O)N2CCC(O)(Cc3ccccc3F)CC2)c2ccc(F)cc2O1,-8.896
dds5_enamine25207,O=C(NCC(NC(=O)c1cncc2ccccc12)c1ccc2ccccc2c1)c1cncnc1,-8.895
dds5_enamine11345,CC(=O)N1CCOC2CN(Cc3cc(on3)c3ccc4ccccc4c3)CC12,-8.891
dds5_enamine32641,CC1(NC(=O)NC1=O)c1cccc(NC(=O)c2ccc3C(=O)NC(=O)c3c2)c1,-8.891
dds5_enamine41624,Cc1ccc2[nH]c(cc2c1C)C(=O)N1CCC(CC1)c1c[nH]c2ncccc12,-8.882
dds5_enamine4796,CC(=O)Nc1cccc(CNC(=O)N2CCc3cc(ccc23)c2cccc(F)c2)c1,-8.877
dds1_enamine5889,Cc1onc(N)c1S(=O)(=O)N1CC(c2ccccc2)c2ccccc2C1,-8.871
dds5_enamine14671,Cc1ccc(NC(=O)C2CCc3ccccc3N2C(=O)C2CCN(CC2)c2ncccn2)cc1,-8.87
hinge_enamine7574,Cc1n[nH]c(C)c1S(=O)(=O)Nc1cccc(c1)c1nnc2CCCCCn12,-8.869
hinge_enamine6047,Cc1cc(C)c2cc([nH]c2c1)C(=O)Nc1cccc(c1)c1nnco1,-8.867
dds5_enamine34675,Cc1nc2c(cccc2[nH]1)C(=O)Nc1nc(c(C)s1)c1ccc2NC(=O)CCc2c1,-8.865
ab_enamine28241,COC(=O)c1c(C)c2ccccc2nc1COC(=O)c1sc2nc3CCCn3c(=O)c2c1C,-8.863
hinge_enamine1443,O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1nc(cs1)c1ccc2CCCCc2c1,-8.861
dds5_enamine26784,OC1CCN(CC1(F)F)C(=O)c1cc([nH]n1)c1ccc2ccccc2c1,-8.857
hinge_enamine15620,O=c1[nH]c(CN2CCC(CC2)c2c[nH]c3ccccc23)nc2ccccc12,-8.853
dds5_enamine43661,Fc1cccc(c2cc(NS(=O)(=O)c3ccc4NC(=O)CCc4c3)[nH]n2)c1F,-8.848
hinge_enamine2919,O=C(N1CCC(CC1)c1c[nH]c2ncccc12)c1ccn(n1)c1ccccc1,-8.846
hinge_enamine18611,Cc1cc2CC(Oc2cc1C)C(=O)Nc1cc2c(=O)[nH]cnc2cc1F,-8.845
hinge_enamine8476,O=C(Nc1cccc(c1)S(=O)(=O)N1CCNC(=O)C1)c1cc2ccccc2s1,-8.843
dds5_enamine5613,Cc1nc2c(cccc2[nH]1)c1noc(n1)c1cc(n[nH]1)c1ccccc1F,-8.842
hinge_enamine12635,Cc1ccc(NC(=O)c2cn(Cc3ccccc3)nc2c2cccs2)cc1S(=O)(=O)N,-8.829
dds5_enamine4678,Fc1cccc(c1)C1CCCN1C(=O)c1cccc(NC(=O)c2ccc3[nH]cnc3c2)c1,-8.828
hinge_enamine5125,Fc1cc(F)c2nc(NC(=O)CCc3nc4ccccc4c(=O)[nH]3)sc2c1,-8.825
hinge_enamine10847,O=C(Nc1ccccc1)N1CCCC(C1)C(=O)N1CCCC1c1ccc2OCCOc2c1,-8.825
hinge_enamine23494,O=c1cc(CN2CCCC(C2)n2cnc3ccccc3c2=O)[nH]c2ccnn12,-8.824
dds5_enamine7867,Cc1cccc2cc(oc12)C(=O)Nc1cccc(c1)c1nnn[nH]1,-8.818
dds5_enamine31964,Clc1ccc2[nH]c(cc2c1)C(=O)N1CCc2c(C1)cnn2c1ccccc1,-8.813
ab_enamine28256,[O-][N+](=O)c1ccc(cc1)c1nc(cs1)c1cc2CCC(=O)Nc2cc1F,-8.809
hinge_enamine21532,Cc1ccc2ncnc(Nc3cnn(Cc4nnc5CCCCn45)c3)c2c1,-8.806
dds5_enamine4022,Fc1cc2CCNCc2cc1C(=O)Nc1cccc(c1)c1nnnn1C1CC1,-8.804
hinge_enamine10167,O=C(COc1ccccc1C(=O)Nc1ccccc1)N1CCCC1c1ccc2OCCCOc2c1,-8.804
dds5_enamine37392,Cc1sc(NC(=O)c2cccc3[nH]cnc23)nc1c1ccc2NC(=O)CCc2c1,-8.801
dds5_enamine49252,CS(=O)(=O)c1cccc(NC(=O)c2ccc3CN(C4CCC(=O)NC4=O)C(=O)c3c2)c1,-8.799
dds5_enamine166,Cc1nnc(o1)c1cccc(NC(=O)c2c[nH]c(=O)cc2C)c1,-8.793
dds5_enamine15326,OC(=O)[C@@H]1CN(C[C@H]1c1ccccc1)C(=O)c1cncc(c1)c1ccc2OCCc2c1,-8.793
dds1_enamine6089,O=C(N1CCC(CC1)C1C(=O)Nc2ccccc12)c1cccc(c1)N1C(=O)c2ccccc2C1=O,-8.793
hinge_enamine20854,Cc1ccc(NC(=O)c2c[nH]c(=O)c3ccccc23)cc1C(=O)N1CCOCC1,-8.786
ab_enamine5097,CCc1c(nnn1c1cccc(NS(=O)(=O)c2ccc(C)c(c2)[N+](=O)[O-])c1)C(=O)O,-8.784
hinge_enamine15705,COc1ccccc1NS(=O)(=O)c1cccc(c1)C(=O)N1CCCC(C1)c1nc2ccccc2[nH]1,-8.783
psl_enamine4771,Cc1cccc(c1)C(=O)Nc1cccc(NC(=O)c2ccncc2)c1,-8.777
dds5_enamine31755,Cc1noc2ncc(cc12)C(=O)Nc1cccc(c1)C(=O)c1ccccc1,-8.775
dds5_enamine3212,O=C(N1CC2CCC(=O)c3cccc1c23)c1ccc2C(=O)OC(Cc2c1)c1ccccc1,-8.77
dds5_enamine5654,Clc1cccnc1n1ccc(NC(=O)Cc2ccc3NC(=O)CCc3c2)n1,-8.769
dds5_enamine33711,C[C@H](O)c1cc(cc2CCOc12)c1cccc2C(=O)N(Cc12)C1CCC(=O)NC1=O,-8.768
psl_enamine5152,Cc1occc1C(=O)NNC=C1C(=O)N(C(=O)c2ccccc12)c1ccccc1Cl,-8.768
hinge_enamine13469,CN(c1ccccc1)S(=O)(=O)c1ccc(cc1)C(=O)N1CCCC(C1)c1nnc2ccccn12,-8.766
hinge_enamine3652,O=C(N1CCC(CC1)C1C(=O)Nc2ccccc12)c1ccc2c(=O)n3CCCCCc3nc2c1,-8.765
dds5_enamine16800,Fc1ccc(cc1)C1CCCC(C1)NC(=O)c1c[nH]c(=O)c2ccccc12,-8.762
dds1_enamine3240,CC1(NC(=O)NC1=O)c1cccc(CNC(=O)CN2C(=O)Cn3c(cc4ccccc34)C2=O)c1,-8.76
dds5_enamine38681,CC1(NC(=O)NC1=O)c1ccc(cc1)c1noc(n1)c1cc(Cc2ccccc2)ccc1O,-8.76
dds5_enamine19532,O=C(CNC(=O)c1ccc2C(=O)NC(=O)c2c1)N1CCCCc2ccccc12,-8.759
dds5_enamine48950,CC1CCc2[nH]c3ccc(cc3c2C1)C(=O)NCc1cccc(c1)C1(C)NC(=O)NC1=O,-8.756
hinge_enamine16978,O=C(Nc1cccc(c1)c1nnco1)c1cccc(Oc2ccccc2)c1,-8.756
dds5_enamine5476,OC1(Cc2ccccc2F)CCN(CC1)C(=O)c1cc(F)c2[nH]c(=O)ccc2c1,-8.753
dds5_enamine39828,CC(C(=O)N1CCN(CC1)C1=NS(=O)(=O)c2ccccc12)c1ccc2ccccc2c1,-8.751
ab_enamine25332,[O-][N+](=O)c1ccc(NC(=O)C2CCN(CC2)C(=O)c2ccc(F)cc2F)cc1,-8.744
dds5_enamine38297,CCc1ccc(cc1)n1cc(nn1)C(=O)N1CCc2ccc(O)cc2C1,-8.743
dds5_enamine13399,Cc1ccc(c(F)c1)n1nc(C(=O)N2CCc3ccc(cc3C2)C(=O)O)c2CCCc12,-8.742
hinge_enamine1355,Cc1nc2cc(NC(=O)c3nn(c4CCCc34)c3ccc(F)c(F)c3)ccc2o1,-8.741
dds5_enamine13240,CCn1cnnc1c1cccc(NC(=O)c2cn(Cc3ccccc3)nn2)c1,-8.739
dds5_enamine44080,Fc1cccc2N(CC3(CCCC3)c12)C(=O)c1cccc(c1)N1CCCS1(=O)=O,-8.738
dds5_enamine14303,CC1(NC(=O)NC1=O)c1cccc(CNC(=O)c2ccc3[nH]c4CCCCCc4c3c2)c1,-8.734
dds1_enamine10198,Clc1cc(cc2OCCCOc12)c1noc(CCc2ccc(=O)[nH]c2)n1,-8.733
hinge_enamine11161,Fc1ccc(cc1)C(=O)N1CCCC(C1)C(=O)N1CCCC(C1)c1nnc2ccccn12,-8.733
dds5_enamine5450,O=C(N1CCC(CC1)c1nnc2cnccn12)c1ccc2[nH]c3CCCCCc3c2c1,-8.73
dds5_enamine28060,O=C(CNC(=O)c1ccc2cccnc2c1)Nc1cccc2c(=O)[nH][nH]c(=O)c12,-8.727
ab_enamine15156,Cc1nc2ccc(cc2nc1C)C(=O)Nc1ccc2CCN(c2c1)S(=O)(=O)N,-8.727
dds5_enamine40496,FC(F)(F)c1ccc(cc1)c1noc(CN2CC3COCCN3C(=O)C2)n1,-8.725
dds5_enamine8570,O=C(Nc1ccc2CCCCC(=O)c2c1)c1n[nH]c(=O)c2ccccc12,-8.722
psl_enamine1964,Clc1ccc(NC(=O)c2cccc3ccccc23)cc1S(=O)(=O)N1CCOCC1,-8.722
dds5_enamine32122,O=C(Nc1cccc(c1)c1nnn[nH]1)c1ccc2COCc2c1,-8.718
hinge_enamine11695,O=c1[nH]c(CN2CCCC2c2ccc3OCCCOc3c2)nc2scc(c3ccco3)c12,-8.715
dds5_enamine43481,FC(F)(F)c1cccc(c1)n1nc(nc1c1ccccc1)C(=O)N1C2CCCC1COC2,-8.713
dds5_enamine48083,[O-][N+](=O)c1cccc(c1)c1cc(NC(=O)c2cccc(n2)n2cccn2)[nH]n1,-8.71
dds5_enamine49949,O=C(Nc1ccc(cc1)C1CCNCC1)c1cccc2C(=O)N(Cc12)C1CCC(=O)NC1=O,-8.709
hinge_enamine13850,Fc1ccc(cc1)n1nc(C(=O)NCc2nnc3ccccn23)c2CCCCc12,-8.707
dds5_enamine15521,Brc1ccc(cc1)N1CCCC(NC(=O)c2ccc(=O)n(n2)c2ccccc2)C1=O,-8.706
hinge_enamine15549,Cc1ccc2nc(NC(=O)c3ccccc3CN3C(=O)CNC3=O)sc2c1,-8.705
dds1_enamine7111,CC(=O)N1CC(Oc2ccccc12)C(=O)N1C(CCc2ccccc12)C(=O)Nc1ccccc1,-8.7
dds1_enamine1701,Clc1ccc(c(Cl)c1)n1ccc(n1)C(=O)NC(c1nnn[nH]1)c1ccccc1,-8.696
hinge_enamine3020,O=C(Nc1cccc(NC(=O)c2cccc3nn[nH]c23)c1)c1ccoc1,-8.695
dds5_enamine1344,FC1(F)CC(C1)C(=O)Nc1cccc2C(=O)N(Cc12)C1CCC(=O)NC1=O,-8.693
hinge_enamine18943,O=C(COc1ccccc1)N1CCCC(C1)C(=O)Nc1nc2ccccc2c(=O)[nH]1,-8.691
dds5_enamine2373,Cc1ccc(CNC(=O)c2ccc3c(=O)[nH][nH]c(=O)c3c2)cc1,-8.69
hinge_enamine13994,Cc1ccccc1c1nn(cc1C(=O)N1CCCC(C1)c1nnc2ccccn12)c1ccccc1,-8.686
hinge_enamine16979,Cc1nc2cc(F)ccc2cc1C(=O)Nc1cccc(c1)c1nnco1,-8.685
dds5_enamine30350,CC(=O)c1sc(NC(=O)c2ccc3nncn3c2)nc1c1ccccc1,-8.685
psl_enamine4963,CCc1cccc(CC)c1n1c(SCC(=O)N2CCc3ccccc3C2)nnc1c1cccnc1,-8.684
dds5_enamine37374,O=C(NCC1Cc2ccccc2CN1C(=O)c1nnn2ccccc12)c1cccc2[nH]ncc12,-8.683
dds5_enamine37804,CC1(C)CCC1C(=O)N1Cc2ccccc2OC2(CCN(CC2)C(=O)c2cncc(F)c2)C1,-8.68
hinge_enamine2690,O=C(N1CCC(=CC1)c1c[nH]c2ncccc12)c1cc2CCCc2s1,-8.68
