Name,SMILES,Affinity
dds5_enamine9675,Cc1ccc(cc1)n1nnnc1N1CCCOC(C1)c1ccccc1,-7.838
dds5_enamine49936,CN(C(=O)c1ccccc1C(=O)N1CCC[C@@H]1Cn1cc(nn1)C1CCCCC1)c1ccccc1,-7.832
dds5_enamine45321,Cc1ccc2nc(cc(C(=O)NC3CCCc4[nH]c(=O)c(cc34)C(=O)N)c2c1)c1ccccc1,-7.831
hinge_enamine11028,COc1ccc(cc1OC)c1noc(CN2C(=O)NC(C)(C2=O)c2ccc3OCCOc3c2)n1,-7.823
dds5_enamine21666,CC1(NC(=O)NC1=O)c1ccc(cc1)C(=O)N1CCc2ccccc2[C@@H]1c1ccccc1,-7.811
dds5_enamine42425,Cc1ccc(cc1)N1CCN(CC1=O)C(=O)c1ccc(cc1)c1noc(n1)C(F)(F)F,-7.811
hinge_enamine13606,Cc1noc2nc(cc(C(=O)N3CCCC(C3)c3nnc4ccccn34)c12)c1ccccc1F,-7.809
dds5_enamine14729,C[C@@H](NC(=O)NC(c1nnc[nH]1)c1cccc(c1)C(F)(F)F)c1ccc2CCCCc2c1,-7.808
hinge_enamine1308,Cc1noc(C)c1CNc1ncnc2[nH]ncc12,-7.806
dds5_enamine49443,O=C(N1CCc2c(C1)nc[nH]c2=O)c1cn(Cc2ccccc2)c2ccccc12,-7.805
dds5_enamine25945,Cc1c(oc2c1ccc1ccccc21)C(=O)N1CCn2c(nnc2C1)C(F)(F)F,-7.802
dds5_enamine39651,Cc1csc(n1)N1CCC(CC1)C(=O)N1C(CCc2ccccc12)C(=O)Nc1ccccc1,-7.802
hinge_enamine21814,C1Cc2ccccc2C2(CCN(CC2)c2ncnc3[nH]ccc23)O1,-7.8
hinge_enamine9393,Cc1cc(=O)c(nn1c1ccccc1C(F)(F)F)C(=O)N1CCCC1c1nnc2ccccn12,-7.798
psl_enamine4396,O=C(Nc1nc(cs1)c1ccccn1)c1cccc(c1)n1cnnn1,-7.795
dds5_enamine4554,Fc1cccc2c3CCCN(Cc3[nH]c12)C(=O)CN1CC(=O)Nc2ccccc12,-7.792
dds5_enamine38118,O=C(N1Cc2ccccc2-c2ccccc2C1)c1ccc2C(=O)NCC(=O)Nc2c1,-7.788
dds5_enamine30537,NC(=O)c1cc(CNC(=O)N2CCC(C2)c2cccc(c2)C(F)(F)F)on1,-7.788
dds5_enamine4410,Cc1nc2ccc(cc2nc1C)C(=O)N1CCN(CC1)C(=O)c1ccc2[nH]cnc2c1,-7.782
hinge_enamine23736,CC1(C)COC(=O)C1NC(=O)c1c(Cl)cccc1Oc1ccc(F)c(Cl)c1,-7.775
hinge_enamine23844,Fc1cc(F)cc(c1)C(F)(F)C(=O)N1CCC2(CC1)CNC(=O)c1ccccc1O2,-7.775
hinge_enamine19638,FC(F)(F)c1cccc(c1)C(NS(=O)(=O)c1ccc2OCCOc2c1)c1nnc[nH]1,-7.772
dds5_enamine17407,CCc1onc(C)c1CNC(c1ccc(F)cc1)c1cccc(c1)S(=O)(=O)C,-7.77
hinge_enamine12017,Cc1noc(n1)C1COCCN1C(=O)Cc1cnc2ccccc2c1,-7.768
dds1_enamine3867,Cc1nnc2ccc(nn12)N1CCN(CC1)C(=O)c1ccc2OCOc2c1,-7.767
hinge_enamine20455,C(Nc1ncnc2sc3CCCCc3c12)c1c[nH]nn1,-7.765
dds5_enamine43215,Cc1onc(c1c1nnc(CN2CCN3CCOCC3C2)o1)c1ccccc1,-7.765
ab_enamine6442,CCc1ccc(cc1NS(=O)(=O)c1cccc(c1)C(=O)NCC(F)(F)F)C(=O)O,-7.757
dds5_enamine39980,Cc1nnc(o1)[C@]12COC[C@H]1CN(C2)C(=O)c1cccc2OCOc12,-7.754
dds5_enamine29199,COc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1cccc(Oc2ccccc2)c1,-7.748
ab_enamine25317,CC1Cc2ccccc2N1C1CCN(CC1)c1ccc(cc1[N+](=O)[O-])S(=O)(=O)N,-7.744
hinge_enamine5303,O=C(Cc1cccc2ccccc12)N(CC1CCCO1)Cc1nc2ccccc2c(=O)[nH]1,-7.741
dds5_enamine2938,COc1ccc2CCC(C(=O)N3Cc4ccccc4CC3c3nnc(C)o3)c2c1,-7.74
dds5_enamine45348,NC(=O)[C@@H]1CC[C@@H](O1)C(=O)Nc1cc(on1)c1cccc(F)c1,-7.74
hinge_enamine12206,Cc1ccnc(n1)N1CCN(CC1)c1nc2ccccc2[nH]1,-7.739
dds5_enamine18294,Cc1c(cnn1c1ccc(C)cc1)C(=O)NC1CCC(=O)NC1=O,-7.739
dds5_enamine6008,Nc1nn2c(=O)cc(CN3Cc4ccccc4CC3C(=O)NCCc3ccc(F)cc3)nc2[nH]1,-7.733
dds5_enamine29896,O=C1COc2ccc(cc2N1)S(=O)(=O)N1CCN(CC1)c1ccnc(C#N)c1,-7.731
hinge_enamine23993,O=C(Nc1cc2CCCN3C(=O)CCc(c1)c23)c1ccccc1Oc1ccccc1,-7.73
dds5_enamine21677,Cc1nc(sc1C(=O)Nc1cccc(c1)C1CCCC(=O)N1)c1ncccn1,-7.726
dds5_enamine25208,O=C1NC(C(=O)N1c1cncc2ccccc12)c1cccc2ccccc12,-7.718
CHEMBL3971397,CNC(=O)COC1=C(C)CCC(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)=C1,-7.717
dds5_enamine8327,CC1Cc2ccccc2N1C1CCN(CC1)S(=O)(=O)c1ccc2[nH]c(=O)[nH]c(=O)c2c1,-7.717
hinge_enamine23139,O=C1NCC2(CCN(CC2)c2ncnc3[nH]ccc23)Oc2ccccc12,-7.715
dds5_enamine33534,FC(F)(F)c1ccn(n1)C1CCCN(C1)C(=O)c1cc([nH]n1)c1ccc2ccccc2c1,-7.714
dds5_enamine30584,Cc1noc(CNC(=O)N2CCC3(CCN(Cc4ccccc4)C3)CC2)n1,-7.711
hinge_enamine14353,CN(C1CCCN(Cc2noc(C)n2)C1)c1ncnc2ccccc12,-7.709
dds5_enamine16661,Cc1c(nnn1c1cccc2cccnc12)C(=O)N1CCC(CC1)c1nnc(N)[nH]1,-7.709
hinge_enamine17442,Clc1ccc2nc(CN3CCC(CC3)C(=O)c3ccc4OCCOc4c3)[nH]c(=O)c2c1,-7.708
dds5_enamine20495,Fc1cccc(Cc2nnc3CN(CCn23)C(=O)[C@]23C[C@H]2CCC3)c1,-7.705
CHEMBL4476724,O=C(Nc1cc(-c2[nH]c(Cc3ccccc3)nc2-c2ccc(F)cc2)ccn1)C1CC1,-7.705
hinge_enamine10396,CCc1noc(C)c1C(=O)N(CC1CCCO1)Cc1nc2ccccc2c(=O)[nH]1,-7.7
dds5_enamine7889,FC(F)(F)c1ccccc1NC(=O)CN1CCC(C1)c1cc(=O)[nH]c(=O)[nH]1,-7.699
CHEMBL3921070,OCCCn1ncc2cc(Nc3ncc(F)c(Nc4cccc(O)c4)n3)ccc21,-7.698
hinge_enamine2653,Fc1ccc(cc1F)n1nc(C(=O)Nc2nc3ccccc3[nH]2)c2CCCc12,-7.697
dds5_enamine37434,Cc1nnc(o1)C1Cc2ccccc2CN1C(=O)[C@H]1C[C@H]2[C@@H](C1)C2(F)F,-7.692
dds5_enamine48087,Cc1cccc(c1)c1ccccc1C(=O)NCc1ccc2CCNC(=O)c2c1,-7.689
dds5_enamine39057,Oc1ccc(CNc2ncnc3ccc(cc23)N2CCOCC2)cc1,-7.686
hinge_enamine1660,CC1CN(CC(C)O1)S(=O)(=O)c1ccc(cc1)C(=O)N1CCN(CC1)c1ncccn1,-7.686
dds5_enamine3271,Fc1ccc(OCC2CCCN2c2ccc3nnc(n3n2)C(F)(F)F)cc1,-7.684
CHEMBL2028663,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,-7.684
CHEMBL4845946,C[C@H](Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,-7.68
dds5_enamine22179,FC(F)(F)c1nc2ccc(NC(=O)c3cnc4ccccc4n3)cc2o1,-7.678
dds1_enamine9407,Clc1ccccc1NC(=O)N1CCC(C1)c1cc(=O)[nH]c(=O)[nH]1,-7.675
ab_enamine1597,FC(F)(F)c1ccc(c(NS(=O)(=O)c2ccc3NC(=O)CC(=O)Nc3c2)c1)n1cccn1,-7.674
