Name,Affinity
dds5_enamine33228,-7.477
hinge_enamine8801,-6.875
dds5_enamine36279,-8.622
dds1_enamine7124,-9.369
psl_enamine5745,-8.095
ab_enamine26592,-7.959
dds5_enamine653,-7.757
ab_enamine27560,-8.924
dds5_enamine41355,-6.395
hinge_enamine9968,-6.079
psl_enamine3023,-7.706
ab_enamine16002,-7.516
dds5_enamine31007,-7.611
dds5_enamine3407,-6.843
dds5_enamine13559,-8.127
hinge_enamine16179,-7.514
dds5_enamine44416,-8.277
ab_enamine772,-7.428
hinge_enamine7505,-8.366
dds5_enamine25612,-7.022
hinge_enamine5998,-7.309
dds5_enamine42565,-7.192
dds5_enamine19388,-6.038
hinge_enamine12625,-8.168
dds5_enamine37166,-6.704
dds5_enamine43779,-7.36
psl_enamine4381,-6.881
dds5_enamine29820,-8.26
hinge_enamine15821,-6.931
dds5_enamine35197,-6.715
dds5_enamine992,-7.336
dds5_enamine14758,-6.881
dds1_enamine6623,-6.606
dds5_enamine43532,-7.277
dds5_enamine22162,-7.561
psl_enamine1302,-6.905
dds5_enamine46310,-7.664
dds5_enamine7109,-6.582
hinge_enamine16587,-7.22
ab_enamine18916,-6.263
dds5_enamine6318,-7.135
dds1_enamine4095,-7.346
ab_enamine23521,-7.941
hinge_enamine4364,-9.574
dds5_enamine1376,-7.142
fda_enamine357,-5.794
hinge_enamine1133,-8.002
ab_enamine13292,-7.523
ab_enamine3110,-7.297
hinge_enamine5225,-7.085
dds5_enamine27530,-8.409
dds5_enamine6637,-7.805
ab_enamine23955,-6.871
dds5_enamine36492,-8.37
dds5_enamine18571,-7.079
dds5_enamine45655,-7.445
dds5_enamine2344,-7.247
ab_enamine10791,-6.77
ab_enamine25851,-7.797
hinge_enamine18643,-7.342
hinge_enamine5450,-7.61
dds1_enamine7690,-8.585
dds5_enamine47699,-8.134
dds5_enamine12198,-7.147
dds5_enamine47133,-7.632
hinge_enamine16304,-8.331
dds5_enamine17072,-7.827
hinge_enamine13498,-7.084
dds5_enamine39651,-8.077
dds5_enamine13117,-6.742
ab_enamine6470,-6.797
dds5_enamine34350,-8.337
ab_enamine6650,-6.574
ab_enamine16095,-8.453
hinge_enamine5897,-8.292
dds5_enamine33740,-7.86
dds5_enamine44618,-7.38
dds5_enamine17903,-6.341
ab_enamine28573,-8.174
hinge_enamine17925,-9.32
dds1_enamine3778,-7.716
dds1_enamine9319,-8.232
ab_enamine25535,-7.83
dds5_enamine28106,-7.376
dds5_enamine36232,-5.894
dds5_enamine29274,-7.615
dds1_enamine3639,-7.861
dds1_enamine1515,-8.49
dds5_enamine29962,-7.313
dds5_enamine10696,-6.292
hinge_enamine22534,-7.711
psl_enamine159,-7.181
hinge_enamine8109,-9.916
dds5_enamine39131,-7.154
ab_enamine28682,-7.024
ab_enamine3929,-6.549
hinge_enamine15378,-8.391
dds5_enamine42608,-8.701
hinge_enamine15609,-7.609
hinge_enamine11085,-8.725
dds5_enamine37651,-7.284
hinge_enamine1993,-6.89
ab_enamine8802,-7.312
dds5_enamine24558,-7.568
ab_enamine5741,-6.554
dds1_enamine5833,-8.358
ab_enamine25371,-7.955
hinge_enamine20228,-7.474
hinge_enamine7382,-8.22
ab_enamine24923,-8.423
dds1_enamine7678,-7.238
dds5_enamine33364,-6.925
dds5_enamine13158,-6.991
ab_enamine8682,-7.836
hinge_enamine76,-6.335
hinge_enamine19038,-7.38
dds5_enamine12990,-5.98
dds5_enamine42633,-6.628
dds5_enamine14040,-7.047
dds1_enamine329,-6.82
dds5_enamine34432,-6.699
dds5_enamine9872,-7.282
dds5_enamine13560,-7.805
ab_enamine13396,-6.374
ab_enamine15913,-6.511
dds1_enamine697,-7.347
dds5_enamine46121,-6.339
hinge_enamine19553,-6.845
dds5_enamine46202,-8.517
dds5_enamine40240,-7.408
hinge_enamine18876,-7.594
ab_enamine18977,-6.855
dds5_enamine3647,-6.409
dds5_enamine40806,-8.255
hinge_enamine22044,-7.892
dds5_enamine28786,-7.713
dds5_enamine42334,-8.631
ab_enamine5205,-6.543
hinge_enamine12320,-8.619
dds1_enamine7143,-6.97
psl_enamine1293,-6.97
dds5_enamine27133,-6.324
dds5_enamine28788,-8.244
dds1_enamine10112,-6.719
dds5_enamine29415,-7.698
hinge_enamine10839,-8.265
dds1_enamine7767,-6.563
dds5_enamine39547,-7.988
hinge_enamine11354,-7.57
ab_enamine16707,-8.315
ab_enamine4308,-7.065
ab_enamine14827,-6.951
dds5_enamine31477,-7.233
fda_enamine486,-7.259
dds5_enamine30601,-7.401
ab_enamine13673,-6.694
dds5_enamine24280,-7.869
dds5_enamine42390,-7.327
dds5_enamine45625,-7.058
dds5_enamine28023,-7.162
dds5_enamine10657,-7.612
ab_enamine13154,-7.201
hinge_enamine4210,-6.466
ab_enamine23423,-7.239
hinge_enamine10672,-8.9
ab_enamine2238,-6.314
hinge_enamine23287,-8.161
dds5_enamine39425,-7.116
dds1_enamine2664,-8.275
hinge_enamine14977,-6.626
dds1_enamine4580,-9.38
ab_enamine26412,-7.282
hinge_enamine2516,-7.077
ab_enamine9571,-6.141
hinge_enamine2615,-7.827
dds1_enamine4895,-7.257
ab_enamine11770,-7.278
ab_enamine23792,-7.172
hinge_enamine22781,-7.324
hinge_enamine4018,-8.826
ab_enamine19295,-7.827
psl_enamine4059,-8.103
dds5_enamine5457,-7.169
ab_enamine27605,-7.152
dds5_enamine16165,-9.352
hinge_enamine16331,-7.646
hinge_enamine2435,-8.69
ab_enamine7655,-6.555
hinge_enamine564,-7.438
dds5_enamine251,-7.758
dds5_enamine1939,-8.266
hinge_enamine18466,-7.617
dds5_enamine25828,-7.439
ab_enamine19407,-6.943
ab_enamine1514,-7.218
hinge_enamine1609,-8.414
dds5_enamine13641,-7.805
dds5_enamine33016,-7.233
dds5_enamine32352,-7.052
ab_enamine13296,-7.129
ab_enamine7883,-6.573
psl_enamine128,-7.732
dds5_enamine18187,-7.693
dds5_enamine25413,-7.762
dds5_enamine10907,-7.199
hinge_enamine17494,-6.519
hinge_enamine5191,-8.15
dds5_enamine27303,-7.564
dds5_enamine18830,-6.757
dds5_enamine9074,-7.562
hinge_enamine14451,-7.64
ab_enamine27496,-7.977
hinge_enamine16155,-8.679
dds5_enamine31670,-6.353
dds5_enamine6750,-6.869
dds1_enamine9331,-7.125
dds5_enamine35025,-7.671
CHEMBL4450810,-9.244
dds5_enamine834,-7.99
hinge_enamine5916,-6.946
dds5_enamine7139,-7.297
dds5_enamine9075,-7.176
dds5_enamine20620,-6.827
psl_enamine1099,-8.052
dds1_enamine1420,-6.185
ab_enamine18819,-8.54
dds5_enamine32422,-8.026
CHEMBL1952329,-7.235
hinge_enamine20813,-7.694
dds5_enamine43122,-7.936
hinge_enamine4708,-8.631
dds5_enamine17065,-8.152
hinge_enamine21690,-7.329
dds5_enamine26164,-7.588
dds5_enamine6870,-7.442
dds5_enamine26905,-6.323
dds5_enamine42452,-6.853
hinge_enamine16332,-7.223
ab_enamine17143,-7.963
hinge_enamine10807,-7.947
hinge_enamine16162,-8.278
hinge_enamine8625,-6.609
dds5_enamine44299,-5.762
dds5_enamine34762,-7.5
psl_enamine730,-6.446
dds1_enamine6587,-7.086
psl_enamine4776,-8.577
ab_enamine4880,-7.328
dds5_enamine26922,-8.098
hinge_enamine2261,-7.503
ab_enamine20488,-8.071
hinge_enamine1679,-7.276
ab_enamine27613,-6.852
hinge_enamine21828,-6.776
dds5_enamine34439,-7.517
hinge_enamine13475,-8.948
ab_enamine27349,-6.18
dds5_enamine29658,-6.926
ab_enamine28567,-6.825
dds5_enamine46113,-7.573
