Name,SMILES,Affinity
dds5_enamine1186,O=C(Nc1cccc(c1)C(=O)N1CCCC(C1)c1nc2ccccc2[nH]1)c1ccc2[nH]cnc2c1,-9.597
dds5_enamine2429,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(Cc2cc3ccccc3[nH]c2=O)n1,-9.525
hinge_enamine23895,O=C(NCc1nc2ccccc2c(=O)[nH]1)c1c[nH]c(=O)c2ccccc12,-9.498
dds5_enamine32298,Cc1cccc(c1)c1cccc(CNC(=O)c2cccc(c2)C2(C)NC(=O)NC2=O)c1,-9.382
psl_enamine1000,O=C(NCc1ccccc1)c1cc2ccccc2oc1=O,-9.276
dds5_enamine39883,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(n1)C1CCCN1C(=O)c1ccccc1,-9.263
dds5_enamine29568,Cc1cccc2c(=O)n(Cc3nc(no3)c3cccc(c3)C3(C)NC(=O)NC3=O)cnc12,-9.262
hinge_enamine8511,O=C(N1CCN(CC1)c1nnnn1c1ccccc1)c1cccc2cn[nH]c12,-9.228
dds5_enamine39726,C[C@H](Oc1ccc2ccccc2c1)c1nc(no1)c1cccc(c1)C1(C)NC(=O)NC1=O,-9.223
dds5_enamine16921,CC(Oc1ccc2CCCc2c1)c1nc(no1)c1cccc(c1)C1(C)NC(=O)NC1=O,-9.219
dds5_enamine48950,CC1CCc2[nH]c3ccc(cc3c2C1)C(=O)NCc1cccc(c1)C1(C)NC(=O)NC1=O,-9.218
hinge_enamine5849,CC1Cc2ccccc2N1S(=O)(=O)c1cccc(c1)C(=O)NCc1ccccn1,-9.165
dds1_enamine5778,Fc1ccccc1C1CCN(C1)C(=O)c1ccc2C(=O)OC(Cc2c1)c1ccccc1,-9.145
hinge_enamine16591,O=C(NCc1cccc(=O)[nH]1)c1cc2ccccc2[nH]c1=O,-9.102
dds5_enamine13570,Cc1nc(no1)c1cccc(NC(=O)c2cn(nn2)C2CCNCC2)c1,-9.094
dds5_enamine24039,Cc1[nH]c(=O)c(cc1c1ccccc1)C(=O)NCc1cccnc1,-9.055
hinge_enamine2744,Cc1cc(=O)c(nn1c1ccccc1Cl)C(=O)N1CCCC1c1ccc2OCCOc2c1,-9.022
dds1_enamine9985,CC1(C)C(=O)Nc2cc(ccc12)C(=O)NCc1cccc(n1)N1CCOCC1,-9.019
dds5_enamine11948,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(n1)C1OCCc2ccccc12,-9.018
hinge_enamine1428,O=C(NCc1nn(c2CCCc12)c1ccccc1)c1c[nH]n2c1nc(=O)c1ccccc21,-9.004
dds5_enamine19460,C(c1nc(no1)c1cccnc1Oc1ccccc1)c1ccc2cn[nH]c2c1,-8.998
hinge_enamine13901,Fc1ccc(cc1)C(=O)N1CCCC(C1)C(=O)N1CCC(CC1)c1nnc2ccccn12,-8.98
dds5_enamine42504,CC1(Nc2ccccc2-c2nnnn12)c1cccc(c1)C(=O)O,-8.976
ab_enamine28428,Oc1cc2CCCCc2cc1C(=O)NCc1ccccc1[N+](=O)[O-],-8.967
dds5_enamine17612,C(c1nc(no1)c1cccnc1Oc1ccccc1)c1n[nH]c2ccccc12,-8.95
hinge_enamine13286,Cc1cc(C)c(CNC(=O)c2cccc(NS(=O)(=O)c3ccc4OCCCOc4c3)c2)c(=O)[nH]1,-8.95
dds1_enamine2021,Cc1cc(C)cc(OCC(=O)N2CCC(CC2)c2nnc(N)o2)c1,-8.931
dds5_enamine7359,O=C(NCc1cccc(n1)N1CCOCC1)c1ccc2ccccc2c1,-8.93
dds5_enamine1798,CC1(NC(=O)NC1=O)c1cccc(c1)C(=O)NC1CC2CCC(C)(C)c3cccc1c23,-8.891
dds5_enamine2351,CC(=O)N1[C@@H](Cc2ccccc12)c1nc(no1)C(F)(F)c1ccc(F)cc1,-8.886
dds5_enamine37434,Cc1nnc(o1)C1Cc2ccccc2CN1C(=O)[C@H]1C[C@H]2[C@@H](C1)C2(F)F,-8.884
hinge_enamine17926,Cc1c(CNC(=O)c2nc3ccccc3c(=O)[nH]2)oc2ccccc12,-8.883
